vae_model_z,VAE_ModeMass_z,VAE_SportKorea_z,VEA_StreetNatural_z,VAE_OutdoorNormcore_z,VAE_EleganceTrad_z,VAE_GirlyDesigner_z,VAE_OfficeManush_z,merchandise
0.7192544,0.21586512,0.39145404,1.2296886,1.264071,1.1974959,0.6340021,2.4039936,ヒートテックフリースタートルネックT_2
0.048803493,1.1825668,0.98286086,0.4255598,0.035234693,2.27336,0.18823692,0.012070622,ヒートテックフリースタートルネックT_3
0.9348486,0.4601884,1.1545242,1.4557432,0.8241036,0.41109943,0.7191257,1.0312071,プリーツノースリーブT_0
0.2292358,0.22254503,0.6698984,0.9773823,1.9271002,0.3412243,1.6241801,0.6739398,ヒートテックフリースタートルネックT_4
0.50478166,0.1104636,0.5333063,0.012855432,1.955625,1.5110025,0.8637221,0.4136646,プリーツノースリーブT_1
0.97567606,1.1976422,0.39353687,0.6900528,0.057574324,0.093246415,0.6557699,0.58890855,プリーツノースリーブT_2
0.9687435,0.13721317,0.891157,0.35529152,0.29180595,0.46432638,0.6511289,1.0452095,プリーツノースリーブT_3
0.23986976,2.6623337,1.2918174,0.0425706,0.20622633,0.95546013,0.24466372,0.28622586,ボートネックノースリーブT_1
0.85035384,0.24264437,0.71469384,0.47000742,0.25540695,2.0072148,0.73874605,0.0952752,ボートネックノースリーブT_0
0.6696839,0.3974818,0.36089438,0.7876736,0.8848108,0.61321545,0.26192638,0.49383757,ボートネックノースリーブT_2
0.6257033,1.3791088,0.9670304,0.0365958,0.52142215,0.36328986,1.042629,0.7245482,ボートネックノースリーブT_3
1.2593395,0.0003883401,1.9300963,0.048254166,0.9981797,0.24661212,0.94940394,0.12534781,ボートネックノースリーブT_4
0.4179891,1.2252433,1.612637,0.30571008,1.6895304,0.081013404,0.53344995,0.10368352,ミニT_0
0.5751694,1.5367302,0.83168924,0.26677528,0.20982236,1.3257164,0.30481547,0.026392935,ミニT_1
0.8239475,0.3452077,0.14111584,0.20808667,0.7155355,0.65897644,0.38932228,0.39174643,ミニT_2
0.29749843,0.7475156,1.0414457,0.47463322,0.36474028,0.5489035,1.2052727,0.81709224,ミニT_3
0.054834213,1.8228105,0.05486896,0.82396996,0.64362967,0.81726116,1.2426528,0.4653411,ミニT_4
0.7749557,0.22340229,1.4666501,1.1023175,0.9833062,0.2925722,0.23641266,0.44960916,ミニボーダーT_0
0.9813698,1.1451689,0.5163197,1.6253883,0.6937425,0.28813356,0.5701837,0.450598,ミニボーダーT_1
0.5767098,0.3330705,0.021923734,1.8121262,0.68108517,0.32114673,0.27399793,0.8216163,ミニボーダーT_2
1.2611544,0.31019402,1.4261973,0.44936526,0.9623843,0.2894469,1.3427674,1.1514218,ミニボーダーT_4
0.5263318,1.3381561,0.60320455,1.3303623,1.5880276,1.1481647,0.7290598,0.500729,ミニボーダーT_3
1.8377768,0.51665956,1.6171911,0.9007664,1.5240049,0.6227318,1.5386293,1.1523949,ライトリブタートルネックT_0
1.0962986,1.1310651,0.73163784,1.1575801,0.9174677,1.8643385,0.99966466,1.7068444,ライトリブタートルネックT_1
0.26357234,0.35506904,1.5655533,0.1032913,1.426445,1.912287,1.2971413,0.1635006,ライトリブタートルネックT_2
1.6491876,1.0658171,1.0132416,1.1674929,0.6750157,0.5235124,1.9992405,0.47774297,ライトリブタートルネックT_3
1.4717319,1.0004305,0.2556643,0.35852712,0.62500787,1.1537366,0.48675224,1.1066198,ラッフルスリーブT_0
1.3727367,1.4656904,0.13087627,1.4757354,1.7954226,0.03281325,1.9647423,0.38649136,ラッフルスリーブT_1
0.23191802,0.19447324,1.2006714,0.25570488,0.21209781,0.28446275,0.2173574,0.3946542,ラッフルスリーブT_2
